"";"x"
"consumption";9,79175726850113
"asset_wealth";11,6421577587547
"cay";0,571320851250133
"fedfunds";5,35333333333333
"RGDP";92,359
"PGDP";96,47525
"GPDInv";87,821
"Emp..Hours";117,889
"Real.Comp.Hour";104,87225
"Cons";90,89625
